metapath,implementation,run_index,wall_clock_s
GpBP,analytical,0,0.012371415999950841
GpBP,analytical,1,0.012950750000527478
GpBP,analytical,2,0.012636417000976508
GpBP,analytical,3,0.012599833000422223
GpBP,analytical,4,0.012371499999062507
GpBP,monte_carlo_b20,0,0.007551750000857282
GpBP,monte_carlo_b20,1,0.007488167000701651
GpBP,monte_carlo_b20,2,0.0073956249998445855
GpBP,monte_carlo_b20,3,0.007442916999934823
GpBP,monte_carlo_b20,4,0.007458207999661681
GiGiGpBP,analytical,0,0.06965391599987925
GiGiGpBP,analytical,1,0.0700311660002626
GiGiGpBP,analytical,2,0.06998025000029884
GiGiGpBP,analytical,3,0.06970774999899731
GiGiGpBP,analytical,4,0.07002229200043075
GiGiGpBP,monte_carlo_b20,0,0.008590333000029204
GiGiGpBP,monte_carlo_b20,1,0.008341791999555426
GiGiGpBP,monte_carlo_b20,2,0.008774916999755078
GiGiGpBP,monte_carlo_b20,3,0.008754833999773837
GiGiGpBP,monte_carlo_b20,4,0.008203334000427276
