row_type,B,rho_seed42,rho_seed43,rho_seed44,rho_mean,rho_range,median_abs_dz,median_seed_spread,total_wall_time_s,n_metapaths
same_null_mc,20.0,0.9777240806463794,0.9758344772228332,0.9720229555236731,0.9751938377976286,0.005701125122706263,0.1983829081605868,0.40097251861021266,0.339321124003618,52
same_null_mc,100.0,0.9935768640720641,0.9942328492823879,0.9886510899869131,0.9921536011137883,0.005581759295474775,0.0784112248732762,0.13272346416792702,1.6201565410156036,52
same_null_mc,1000.0,0.9977795672043355,0.9983963562055127,0.9976562094041,0.997944044271316,0.0007401468014126555,0.026374063745870313,0.0566779326714994,16.047070666012587,52
same_null_mc,10000.0,0.9995065764076316,0.9993832186073961,0.9997532920081025,0.9995476956743768,0.0003700734007063833,0.0070700942316864746,0.019559317279270027,173.08025745900522,52
analytical,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0063935830112313,52
old_null_b10k,10000.0,0.28292111483997573,,,0.28292111483997573,,0.6601079696703367,,222.2796516249946,52
