metapath,B,seed,z_mc,z_analytical,z_oldnull_b10k
GpBPpGpBP,20,42,20.818656853031047,21.974989483869173,33.88418513118736
GpPWpGpBP,20,42,17.86232450094602,20.91667202116316,44.669747473482815
GpMFpGpBP,20,42,13.35721077783725,13.73795364701183,18.52628628382347
GiGiGpBP,20,42,4.400134332895134,4.472090220910445,3.785293785557323
GdDaGpBP,20,42,2.9480841062852465,2.727395372707633,0.0407608293826901
GuDaGpBP,20,42,2.4923746235297153,2.2939917153691285,0.8953505540520258
G<rGr>GpBP,20,42,2.57058222746248,2.0387695975906124,1.8422717254086416
GaDuGpBP,20,42,2.388050208555147,1.992805253160803,3.077859376587474
GcGcGpBP,20,42,1.8591414656362648,1.722114411561869,1.8665356117071903
GuDdGpBP,20,42,1.0637522542428808,1.4281429041399238,0.7947234001523725
GuCdGpBP,20,42,0.7842344780580297,0.687437588370302,-0.4149779222889873
G<rGiGpBP,20,42,0.5893506263399078,0.3154370038274601,0.2387646794601901
Gr>GiGpBP,20,42,-0.1120936055318617,0.0382101059160156,0.37844222352693
G<rG<rGpBP,20,42,0.1534177149501747,0.0125483163515563,-0.3589924268437346
GuAuGpBP,20,42,-0.0458616911456704,-0.0672255308986888,2.449033332529737
GeAuGpBP,20,42,-0.0612019162603903,-0.1281058687118577,2.747904798710903
GbCbGpBP,20,42,-0.3248931448269654,-0.1443375672974064,-0.1273297634520929
GiGpBP,20,42,-0.2236067977499789,-0.1443375672974064,-0.276881218159955
GcGpBP,20,42,,-0.1443375672974064,-0.2315106784045755
GiG<rGpBP,20,42,-0.0831086208495249,-0.1975040564892314,-0.4920127512627357
G<rGpBP,20,42,-0.223606797749979,-0.2035341987864453,-0.491781104749088
G<rGcGpBP,20,42,-0.4049293629904178,-0.2042182142569958,-0.5266304445547925
GcGr>GpBP,20,42,,-0.2215680865634232,-0.4280447471971588
Gr>Gr>GpBP,20,42,0.2516154204059008,-0.2400603761598435,-0.0865280288023237
Gr>GpBP,20,42,,-0.2929526956976827,-0.2321260566493571
GiGcGpBP,20,42,-0.447930879595391,-0.3331785095145209,-0.5808760207487617
GcGiGpBP,20,42,-0.223606797749979,-0.3402892889464298,-0.6145531143399793
GpCCpGpBP,20,42,-0.3182045529838009,-0.4258798821214624,0.1079011951969348
GiGr>GpBP,20,42,-0.8521325619419333,-0.5984063766394848,-0.8019362892832911
GcG<rGpBP,20,42,-0.5746942690257154,-0.6473461372079952,-0.935861963543959
GuAdGpBP,20,42,-1.1706141297387076,-0.6993960393351109,1.2384143526595717
GdDuGpBP,20,42,-0.5832899031245108,-0.7000087496120544,-0.575460308475782
GbCdGpBP,20,42,-0.5529622607952935,-0.7886976368154965,-0.4704288088893098
Gr>GcGpBP,20,42,-0.7515691712671755,-0.8525317231134635,-0.7763084352911594
GdDdGpBP,20,42,-0.7284930142473869,-0.9102843426501508,3.387715862761397
GaDaGpBP,20,42,-1.7421018162399338,-0.9456069759837016,2.1680277324018986
GdCdGpBP,20,42,-1.751452594281108,-1.5948544974903744,0.977744688037218
GuDuGpBP,20,42,-1.1676072957643675,-1.653270498692371,-0.651312046061496
GdAeGpBP,20,42,-1.8102369257741504,-2.157555939160403,1.7510500943771927
Gr>G<rGpBP,20,42,-2.3416961743525557,-2.2189735654830565,-0.381751033733372
GdAdGpBP,20,42,-1.6992845933750202,-2.278934778972244,1.9732683140391276
GdAuGpBP,20,42,-2.8064616546807466,-2.600570876427385,0.9111345306391054
GaDdGpBP,20,42,-2.5113904061625933,-2.7382782404388326,-0.5098995476100914
GeAdGpBP,20,42,-2.9287972626065675,-2.7945517000868314,2.3012330022125074
GeAeGpBP,20,42,-3.659893036622055,-2.98068289300443,1.8189420980362163
GuAeGpBP,20,42,-3.4756355694633965,-4.035892163278144,1.6917662783461174
GbCuGpBP,20,42,,,
GdCbGpBP,20,42,,,-0.0500014938637875
GdCuGpBP,20,42,,,
GpBP,20,42,,,123.5371554976985
GuCbGpBP,20,42,,,
GuCuGpBP,20,42,,,
GpBPpGpBP,20,43,21.306630274025903,21.974989483869173,33.88418513118736
GpPWpGpBP,20,43,23.14994681525635,20.91667202116316,44.669747473482815
GpMFpGpBP,20,43,14.033387561976753,13.73795364701183,18.52628628382347
GiGiGpBP,20,43,5.748874014754105,4.472090220910445,3.785293785557323
GdDaGpBP,20,43,2.086457950304837,2.727395372707633,0.0407608293826901
GuDaGpBP,20,43,1.9710749867744493,2.2939917153691285,0.8953505540520258
G<rGr>GpBP,20,43,2.0105005460441285,2.0387695975906124,1.8422717254086416
GaDuGpBP,20,43,2.276840041843794,1.992805253160803,3.077859376587474
GcGcGpBP,20,43,1.8399349167840937,1.722114411561869,1.8665356117071903
GuDdGpBP,20,43,1.3231459903021678,1.4281429041399238,0.7947234001523725
GuCdGpBP,20,43,0.6162760302399484,0.687437588370302,-0.4149779222889873
G<rGiGpBP,20,43,0.651390632068893,0.3154370038274601,0.2387646794601901
Gr>GiGpBP,20,43,-0.2289312355446563,0.0382101059160156,0.37844222352693
G<rG<rGpBP,20,43,-0.1746051425186348,0.0125483163515563,-0.3589924268437346
GuAuGpBP,20,43,-0.3538091102623362,-0.0672255308986888,2.449033332529737
GeAuGpBP,20,43,0.0715646544003515,-0.1281058687118577,2.747904798710903
GbCbGpBP,20,43,,-0.1443375672974064,-0.1273297634520929
GiGpBP,20,43,-0.2236067977499789,-0.1443375672974064,-0.276881218159955
GcGpBP,20,43,,-0.1443375672974064,-0.2315106784045755
GiG<rGpBP,20,43,-0.2793222955492531,-0.1975040564892314,-0.4920127512627357
G<rGpBP,20,43,-0.223606797749979,-0.2035341987864453,-0.491781104749088
G<rGcGpBP,20,43,,-0.2042182142569958,-0.5266304445547925
GcGr>GpBP,20,43,-0.2236067977499789,-0.2215680865634232,-0.4280447471971588
Gr>Gr>GpBP,20,43,-0.3588034483244542,-0.2400603761598435,-0.0865280288023237
Gr>GpBP,20,43,-0.3248931448269654,-0.2929526956976827,-0.2321260566493571
GiGcGpBP,20,43,-0.2236067977499789,-0.3331785095145209,-0.5808760207487617
GcGiGpBP,20,43,-0.554061695315475,-0.3402892889464298,-0.6145531143399793
GpCCpGpBP,20,43,-0.4999261376211714,-0.4258798821214624,0.1079011951969348
GiGr>GpBP,20,43,-0.4728005360650126,-0.5984063766394848,-0.8019362892832911
GcG<rGpBP,20,43,-0.7305673294512107,-0.6473461372079952,-0.935861963543959
GuAdGpBP,20,43,-0.661658572502245,-0.6993960393351109,1.2384143526595717
GdDuGpBP,20,43,-0.5627314338711379,-0.7000087496120544,-0.575460308475782
GbCdGpBP,20,43,-1.0361634414150358,-0.7886976368154965,-0.4704288088893098
Gr>GcGpBP,20,43,-0.8772074971777635,-0.8525317231134635,-0.7763084352911594
GdDdGpBP,20,43,-0.7784606938826535,-0.9102843426501508,3.387715862761397
GaDaGpBP,20,43,-1.0148404557088462,-0.9456069759837016,2.1680277324018986
GdCdGpBP,20,43,-1.633749165178069,-1.5948544974903744,0.977744688037218
GuDuGpBP,20,43,-2.421501511093124,-1.653270498692371,-0.651312046061496
GdAeGpBP,20,43,-2.9608110764251463,-2.157555939160403,1.7510500943771927
Gr>G<rGpBP,20,43,-2.4980937672189576,-2.2189735654830565,-0.381751033733372
GdAdGpBP,20,43,-3.04597683336973,-2.278934778972244,1.9732683140391276
GdAuGpBP,20,43,-4.042737662190758,-2.600570876427385,0.9111345306391054
GaDdGpBP,20,43,-3.0268655325318585,-2.7382782404388326,-0.5098995476100914
GeAdGpBP,20,43,-3.0426100432322585,-2.7945517000868314,2.3012330022125074
GeAeGpBP,20,43,-2.2410789653090992,-2.98068289300443,1.8189420980362163
GuAeGpBP,20,43,-2.9849083349749286,-4.035892163278144,1.6917662783461174
GbCuGpBP,20,43,,,
GdCbGpBP,20,43,,,-0.0500014938637875
GdCuGpBP,20,43,,,
GpBP,20,43,,,123.5371554976985
GuCbGpBP,20,43,,,
GuCuGpBP,20,43,,,
GpBPpGpBP,20,44,21.0425816855432,21.974989483869173,33.88418513118736
GpPWpGpBP,20,44,15.363381625796723,20.91667202116316,44.669747473482815
GpMFpGpBP,20,44,12.02856583669151,13.73795364701183,18.52628628382347
GiGiGpBP,20,44,5.094988623829498,4.472090220910445,3.785293785557323
