metapath,B,seed,z_mc,z_analytical,z_oldnull_b10k
GdDaGpBP,20,44,4.020729045444231,2.727395372707633,0.0407608293826901
GuDaGpBP,20,44,2.3279189559440967,2.2939917153691285,0.8953505540520258
G<rGr>GpBP,20,44,1.6447366874901688,2.0387695975906124,1.8422717254086416
GaDuGpBP,20,44,2.5493808559028897,1.992805253160803,3.077859376587474
GcGcGpBP,20,44,1.8219868012600895,1.722114411561869,1.8665356117071903
GuDdGpBP,20,44,1.9267579896221203,1.4281429041399238,0.7947234001523725
GuCdGpBP,20,44,0.9842313327247908,0.687437588370302,-0.4149779222889873
G<rGiGpBP,20,44,0.0450614752925819,0.3154370038274601,0.2387646794601901
Gr>GiGpBP,20,44,-0.3482846976222944,0.0382101059160156,0.37844222352693
G<rG<rGpBP,20,44,-0.2557599887326761,0.0125483163515563,-0.3589924268437346
GuAuGpBP,20,44,-0.0904053215634466,-0.0672255308986888,2.449033332529737
GeAuGpBP,20,44,-0.321202679137223,-0.1281058687118577,2.747904798710903
GbCbGpBP,20,44,-0.223606797749979,-0.1443375672974064,-0.1273297634520929
GiGpBP,20,44,,-0.1443375672974064,-0.276881218159955
GcGpBP,20,44,-0.3248931448269654,-0.1443375672974064,-0.2315106784045755
GiG<rGpBP,20,44,-0.6262111158460532,-0.1975040564892314,-0.4920127512627357
G<rGpBP,20,44,,-0.2035341987864453,-0.491781104749088
G<rGcGpBP,20,44,,-0.2042182142569958,-0.5266304445547925
GcGr>GpBP,20,44,-0.3248931448269654,-0.2215680865634232,-0.4280447471971588
Gr>Gr>GpBP,20,44,-0.2185148222929904,-0.2400603761598435,-0.0865280288023237
Gr>GpBP,20,44,-0.5622275487697427,-0.2929526956976827,-0.2321260566493571
GiGcGpBP,20,44,-0.304043775801721,-0.3331785095145209,-0.5808760207487617
GcGiGpBP,20,44,-0.3093941217727766,-0.3402892889464298,-0.6145531143399793
GpCCpGpBP,20,44,-0.4934122157079211,-0.4258798821214624,0.1079011951969348
GiGr>GpBP,20,44,-0.8012273085107064,-0.5984063766394848,-0.8019362892832911
GcG<rGpBP,20,44,-0.5379918592592839,-0.6473461372079952,-0.935861963543959
GuAdGpBP,20,44,-0.4803085150276311,-0.6993960393351109,1.2384143526595717
GdDuGpBP,20,44,-0.8758438823827375,-0.7000087496120544,-0.575460308475782
GbCdGpBP,20,44,-0.8455430922860723,-0.7886976368154965,-0.4704288088893098
Gr>GcGpBP,20,44,-0.9583977490691163,-0.8525317231134635,-0.7763084352911594
GdDdGpBP,20,44,-1.062179611211683,-0.9102843426501508,3.387715862761397
GaDaGpBP,20,44,-1.1449709753271762,-0.9456069759837016,2.1680277324018986
GdCdGpBP,20,44,-1.3146207374086618,-1.5948544974903744,0.977744688037218
GuDuGpBP,20,44,-1.9007991349113775,-1.653270498692371,-0.651312046061496
GdAeGpBP,20,44,-2.1546831000501525,-2.157555939160403,1.7510500943771927
Gr>G<rGpBP,20,44,-2.1812829400875495,-2.2189735654830565,-0.381751033733372
GdAdGpBP,20,44,-2.28632297155677,-2.278934778972244,1.9732683140391276
GdAuGpBP,20,44,-2.615837300208497,-2.600570876427385,0.9111345306391054
GaDdGpBP,20,44,-2.9832643398945806,-2.7382782404388326,-0.5098995476100914
GeAdGpBP,20,44,-2.867633768631792,-2.7945517000868314,2.3012330022125074
GeAeGpBP,20,44,-3.400749853843922,-2.98068289300443,1.8189420980362163
GuAeGpBP,20,44,-4.108760637762596,-4.035892163278144,1.6917662783461174
GbCuGpBP,20,44,,,
GdCbGpBP,20,44,,,-0.0500014938637875
GdCuGpBP,20,44,,,
GpBP,20,44,,,123.5371554976985
GuCbGpBP,20,44,,,
GuCuGpBP,20,44,,,
GpBPpGpBP,100,42,20.13518047745372,21.974989483869173,33.88418513118736
GpPWpGpBP,100,42,21.842964552473852,20.91667202116316,44.669747473482815
GpMFpGpBP,100,42,11.59263119175398,13.73795364701183,18.52628628382347
GiGiGpBP,100,42,4.182434182875335,4.472090220910445,3.785293785557323
GdDaGpBP,100,42,3.497811989933894,2.727395372707633,0.0407608293826901
GuDaGpBP,100,42,2.3123786507872137,2.2939917153691285,0.8953505540520258
G<rGr>GpBP,100,42,2.452078693645244,2.0387695975906124,1.8422717254086416
GaDuGpBP,100,42,1.9249685204007356,1.992805253160803,3.077859376587474
GcGcGpBP,100,42,1.6536558134403183,1.722114411561869,1.8665356117071903
GuDdGpBP,100,42,1.6201769178064582,1.4281429041399238,0.7947234001523725
GuCdGpBP,100,42,0.8249090522990903,0.687437588370302,-0.4149779222889873
G<rGiGpBP,100,42,0.2120477449651733,0.3154370038274601,0.2387646794601901
Gr>GiGpBP,100,42,0.1201802936970196,0.0382101059160156,0.37844222352693
G<rG<rGpBP,100,42,-0.0042485771424104,0.0125483163515563,-0.3589924268437346
GuAuGpBP,100,42,-0.1484607339150156,-0.0672255308986888,2.449033332529737
GeAuGpBP,100,42,-0.0541994194686922,-0.1281058687118577,2.747904798710903
GbCbGpBP,100,42,-0.203100960115899,-0.1443375672974064,-0.1273297634520929
GiGpBP,100,42,-0.1421410624438028,-0.1443375672974064,-0.276881218159955
GcGpBP,100,42,,-0.1443375672974064,-0.2315106784045755
GiG<rGpBP,100,42,-0.2640982632569463,-0.1975040564892314,-0.4920127512627357
G<rGpBP,100,42,-0.1745405848675433,-0.2035341987864453,-0.491781104749088
G<rGcGpBP,100,42,-0.1735709883391998,-0.2042182142569958,-0.5266304445547925
GcGr>GpBP,100,42,-0.2512424002950443,-0.2215680865634232,-0.4280447471971588
Gr>Gr>GpBP,100,42,-0.2242641085231164,-0.2400603761598435,-0.0865280288023237
Gr>GpBP,100,42,-0.3495411298496628,-0.2929526956976827,-0.2321260566493571
GiGcGpBP,100,42,-0.3806425119050916,-0.3331785095145209,-0.5808760207487617
GcGiGpBP,100,42,-0.3287990627602931,-0.3402892889464298,-0.6145531143399793
GpCCpGpBP,100,42,-0.4566622494460655,-0.4258798821214624,0.1079011951969348
GiGr>GpBP,100,42,-0.6488816833594718,-0.5984063766394848,-0.8019362892832911
GcG<rGpBP,100,42,-0.6432837511243431,-0.6473461372079952,-0.935861963543959
GuAdGpBP,100,42,-0.8656502755841289,-0.6993960393351109,1.2384143526595717
GdDuGpBP,100,42,-0.721963382975206,-0.7000087496120544,-0.575460308475782
GbCdGpBP,100,42,-0.7576219091015127,-0.7886976368154965,-0.4704288088893098
Gr>GcGpBP,100,42,-0.8611335458170102,-0.8525317231134635,-0.7763084352911594
GdDdGpBP,100,42,-0.840786784467432,-0.9102843426501508,3.387715862761397
GaDaGpBP,100,42,-0.9751512567551184,-0.9456069759837016,2.1680277324018986
GdCdGpBP,100,42,-1.806770258369044,-1.5948544974903744,0.977744688037218
GuDuGpBP,100,42,-2.065682600280139,-1.653270498692371,-0.651312046061496
GdAeGpBP,100,42,-2.125886681117603,-2.157555939160403,1.7510500943771927
Gr>G<rGpBP,100,42,-2.277070464070284,-2.2189735654830565,-0.381751033733372
GdAdGpBP,100,42,-2.679622560750094,-2.278934778972244,1.9732683140391276
GdAuGpBP,100,42,-3.2866721486772903,-2.600570876427385,0.9111345306391054
GaDdGpBP,100,42,-2.704148973431248,-2.7382782404388326,-0.5098995476100914
GeAdGpBP,100,42,-2.5233972012307087,-2.7945517000868314,2.3012330022125074
GeAeGpBP,100,42,-2.7365706464094086,-2.98068289300443,1.8189420980362163
GuAeGpBP,100,42,-3.465122220271448,-4.035892163278144,1.6917662783461174
GbCuGpBP,100,42,,,
GdCbGpBP,100,42,,,-0.0500014938637875
GdCuGpBP,100,42,,,
GpBP,100,42,,,123.5371554976985
GuCbGpBP,100,42,,,
GuCuGpBP,100,42,,,
GpBPpGpBP,100,43,24.81815271850083,21.974989483869173,33.88418513118736
GpPWpGpBP,100,43,21.1102971407562,20.91667202116316,44.669747473482815
GpMFpGpBP,100,43,14.21293986041558,13.73795364701183,18.52628628382347
GiGiGpBP,100,43,4.973801074760705,4.472090220910445,3.785293785557323
GdDaGpBP,100,43,3.3506317429731713,2.727395372707633,0.0407608293826901
GuDaGpBP,100,43,2.988326759137379,2.2939917153691285,0.8953505540520258
G<rGr>GpBP,100,43,1.840469879634,2.0387695975906124,1.8422717254086416
GaDuGpBP,100,43,2.0995327181366665,1.992805253160803,3.077859376587474
GcGcGpBP,100,43,1.9358503760606476,1.722114411561869,1.8665356117071903
GuDdGpBP,100,43,1.6100687708565251,1.4281429041399238,0.7947234001523725
GuCdGpBP,100,43,0.7658258525764583,0.687437588370302,-0.4149779222889873
G<rGiGpBP,100,43,0.2125749697349907,0.3154370038274601,0.2387646794601901
Gr>GiGpBP,100,43,0.1166213307892918,0.0382101059160156,0.37844222352693
G<rG<rGpBP,100,43,0.1222724884813411,0.0125483163515563,-0.3589924268437346
GuAuGpBP,100,43,-0.177817765850648,-0.0672255308986888,2.449033332529737
GeAuGpBP,100,43,-0.0942645695161594,-0.1281058687118577,2.747904798710903
GbCbGpBP,100,43,-0.203100960115899,-0.1443375672974064,-0.1273297634520929
GiGpBP,100,43,-0.203100960115899,-0.1443375672974064,-0.276881218159955
GcGpBP,100,43,-0.0999999999999999,-0.1443375672974064,-0.2315106784045755
GiG<rGpBP,100,43,-0.2831513539591293,-0.1975040564892314,-0.4920127512627357
G<rGpBP,100,43,-0.1749815896059666,-0.2035341987864453,-0.491781104749088
G<rGcGpBP,100,43,-0.2269995470157308,-0.2042182142569958,-0.5266304445547925
GcGr>GpBP,100,43,-0.3023072187704678,-0.2215680865634232,-0.4280447471971588
Gr>Gr>GpBP,100,43,-0.3485902258945907,-0.2400603761598435,-0.0865280288023237
Gr>GpBP,100,43,-0.3496287622713563,-0.2929526956976827,-0.2321260566493571
GiGcGpBP,100,43,-0.3371219583036082,-0.3331785095145209,-0.5808760207487617
GcGiGpBP,100,43,-0.3118135145332177,-0.3402892889464298,-0.6145531143399793
GpCCpGpBP,100,43,-0.4382725165657526,-0.4258798821214624,0.1079011951969348
GiGr>GpBP,100,43,-0.6132704735467762,-0.5984063766394848,-0.8019362892832911
GcG<rGpBP,100,43,-0.5789951622199275,-0.6473461372079952,-0.935861963543959
GuAdGpBP,100,43,-0.9671029858881872,-0.6993960393351109,1.2384143526595717
GdDuGpBP,100,43,-0.6913439251680562,-0.7000087496120544,-0.575460308475782
GbCdGpBP,100,43,-0.7825562938844102,-0.7886976368154965,-0.4704288088893098
Gr>GcGpBP,100,43,-0.868065009220472,-0.8525317231134635,-0.7763084352911594
GdDdGpBP,100,43,-1.0700504770959076,-0.9102843426501508,3.387715862761397
GaDaGpBP,100,43,-0.9502087764985432,-0.9456069759837016,2.1680277324018986
GdCdGpBP,100,43,-1.554738412896206,-1.5948544974903744,0.977744688037218
GuDuGpBP,100,43,-1.586753583279456,-1.653270498692371,-0.651312046061496
GdAeGpBP,100,43,-2.026534475633243,-2.157555939160403,1.7510500943771927
Gr>G<rGpBP,100,43,-2.0526135496533007,-2.2189735654830565,-0.381751033733372
GdAdGpBP,100,43,-2.3700629402523155,-2.278934778972244,1.9732683140391276
GdAuGpBP,100,43,-2.4552090897469965,-2.600570876427385,0.9111345306391054
GaDdGpBP,100,43,-2.8996833818474643,-2.7382782404388326,-0.5098995476100914
GeAdGpBP,100,43,-2.6941531703589465,-2.7945517000868314,2.3012330022125074
GeAeGpBP,100,43,-3.4732718869287083,-2.98068289300443,1.8189420980362163
GuAeGpBP,100,43,-4.480942190227467,-4.035892163278144,1.6917662783461174
GbCuGpBP,100,43,,,
GdCbGpBP,100,43,,,-0.0500014938637875
GdCuGpBP,100,43,,,
GpBP,100,43,,,123.5371554976985
GuCbGpBP,100,43,,,
GuCuGpBP,100,43,,,
GpBPpGpBP,100,44,21.559541499918097,21.974989483869173,33.88418513118736
GpPWpGpBP,100,44,21.56369119408542,20.91667202116316,44.669747473482815
GpMFpGpBP,100,44,13.386761067804889,13.73795364701183,18.52628628382347
GiGiGpBP,100,44,4.623029631322393,4.472090220910445,3.785293785557323
GdDaGpBP,100,44,2.2071968687331984,2.727395372707633,0.0407608293826901
GuDaGpBP,100,44,2.1252157488110455,2.2939917153691285,0.8953505540520258
G<rGr>GpBP,100,44,1.8657180844848555,2.0387695975906124,1.8422717254086416
GaDuGpBP,100,44,2.101426263192215,1.992805253160803,3.077859376587474
GcGcGpBP,100,44,1.8097645429275888,1.722114411561869,1.8665356117071903
GuDdGpBP,100,44,1.4920895993745698,1.4281429041399238,0.7947234001523725
GuCdGpBP,100,44,0.6680791712633118,0.687437588370302,-0.4149779222889873
G<rGiGpBP,100,44,0.3494073548691389,0.3154370038274601,0.2387646794601901
Gr>GiGpBP,100,44,0.1533757437512609,0.0382101059160156,0.37844222352693
G<rG<rGpBP,100,44,0.1537468803070387,0.0125483163515563,-0.3589924268437346
GuAuGpBP,100,44,-0.12459240723089,-0.0672255308986888,2.449033332529737
GeAuGpBP,100,44,-0.1730313315844396,-0.1281058687118577,2.747904798710903
GbCbGpBP,100,44,-0.1,-0.1443375672974064,-0.1273297634520929
GiGpBP,100,44,-0.203100960115899,-0.1443375672974064,-0.276881218159955
GcGpBP,100,44,-0.1749815896059666,-0.1443375672974064,-0.2315106784045755
GiG<rGpBP,100,44,-0.2039074893300534,-0.1975040564892314,-0.4920127512627357
G<rGpBP,100,44,-0.1744936143455682,-0.2035341987864453,-0.491781104749088
G<rGcGpBP,100,44,-0.2261660090330018,-0.2042182142569958,-0.5266304445547925
GcGr>GpBP,100,44,-0.1815469751762306,-0.2215680865634232,-0.4280447471971588
Gr>Gr>GpBP,100,44,-0.095557575317101,-0.2400603761598435,-0.0865280288023237
Gr>GpBP,100,44,-0.2728709029115873,-0.2929526956976827,-0.2321260566493571
GiGcGpBP,100,44,-0.348812795518204,-0.3331785095145209,-0.5808760207487617
GcGiGpBP,100,44,-0.2360516249905987,-0.3402892889464298,-0.6145531143399793
GpCCpGpBP,100,44,-0.4390864506547589,-0.4258798821214624,0.1079011951969348
GiGr>GpBP,100,44,-0.5865849842657842,-0.5984063766394848,-0.8019362892832911
GcG<rGpBP,100,44,-0.5842379234535019,-0.6473461372079952,-0.935861963543959
GuAdGpBP,100,44,-0.906807506317068,-0.6993960393351109,1.2384143526595717
GdDuGpBP,100,44,-0.7793993122259503,-0.7000087496120544,-0.575460308475782
GbCdGpBP,100,44,-0.7493564028841868,-0.7886976368154965,-0.4704288088893098
Gr>GcGpBP,100,44,-0.7488858217495087,-0.8525317231134635,-0.7763084352911594
GdDdGpBP,100,44,-0.9708108078230676,-0.9102843426501508,3.387715862761397
GaDaGpBP,100,44,-0.8507282396411194,-0.9456069759837016,2.1680277324018986
GdCdGpBP,100,44,-1.4123220681629798,-1.5948544974903744,0.977744688037218
GuDuGpBP,100,44,-1.6395839115052897,-1.653270498692371,-0.651312046061496
GdAeGpBP,100,44,-2.0390527110329515,-2.157555939160403,1.7510500943771927
Gr>G<rGpBP,100,44,-2.3885824638145774,-2.2189735654830565,-0.381751033733372
GdAdGpBP,100,44,-2.2219126838021466,-2.278934778972244,1.9732683140391276
GdAuGpBP,100,44,-2.7943804307664077,-2.600570876427385,0.9111345306391054
GaDdGpBP,100,44,-2.723487917809167,-2.7382782404388326,-0.5098995476100914
GeAdGpBP,100,44,-2.94962194143716,-2.7945517000868314,2.3012330022125074
GeAeGpBP,100,44,-3.0347715244338938,-2.98068289300443,1.8189420980362163
GuAeGpBP,100,44,-4.647161913397193,-4.035892163278144,1.6917662783461174
GbCuGpBP,100,44,,,
GdCbGpBP,100,44,,,-0.0500014938637875
GdCuGpBP,100,44,,,
GpBP,100,44,,,123.5371554976985
GuCbGpBP,100,44,,,
GuCuGpBP,100,44,,,
GpBPpGpBP,1000,42,21.684563662581912,21.974989483869173,33.88418513118736
GpPWpGpBP,1000,42,20.890219672498542,20.91667202116316,44.669747473482815
GpMFpGpBP,1000,42,13.615508465749468,13.73795364701183,18.52628628382347
GiGiGpBP,1000,42,4.748264465651603,4.472090220910445,3.785293785557323
GdDaGpBP,1000,42,2.7429722463030175,2.727395372707633,0.0407608293826901
GuDaGpBP,1000,42,2.228385931568031,2.2939917153691285,0.8953505540520258
G<rGr>GpBP,1000,42,2.000076780114845,2.0387695975906124,1.8422717254086416
GaDuGpBP,1000,42,2.1005484607250153,1.992805253160803,3.077859376587474
GcGcGpBP,1000,42,1.6523920161560357,1.722114411561869,1.8665356117071903
GuDdGpBP,1000,42,1.4172794880125046,1.4281429041399238,0.7947234001523725
GuCdGpBP,1000,42,0.6611418095431776,0.687437588370302,-0.4149779222889873
G<rGiGpBP,1000,42,0.3107707819547102,0.3154370038274601,0.2387646794601901
Gr>GiGpBP,1000,42,0.0230093106178765,0.0382101059160156,0.37844222352693
G<rG<rGpBP,1000,42,0.0259295240253506,0.0125483163515563,-0.3589924268437346
GuAuGpBP,1000,42,-0.0612602649752116,-0.0672255308986888,2.449033332529737
GeAuGpBP,1000,42,-0.1468123606972712,-0.1281058687118577,2.747904798710903
GbCbGpBP,1000,42,-0.1314408763187715,-0.1443375672974064,-0.1273297634520929
GiGpBP,1000,42,-0.1390993308869996,-0.1443375672974064,-0.276881218159955
GcGpBP,1000,42,-0.1233417932800684,-0.1443375672974064,-0.2315106784045755
GiG<rGpBP,1000,42,-0.192872248118095,-0.1975040564892314,-0.4920127512627357
G<rGpBP,1000,42,-0.2087715974962566,-0.2035341987864453,-0.491781104749088
G<rGcGpBP,1000,42,-0.1740094074530483,-0.2042182142569958,-0.5266304445547925
GcGr>GpBP,1000,42,-0.2314291635390795,-0.2215680865634232,-0.4280447471971588
Gr>Gr>GpBP,1000,42,-0.2195830910823018,-0.2400603761598435,-0.0865280288023237
Gr>GpBP,1000,42,-0.265735431385969,-0.2929526956976827,-0.2321260566493571
GiGcGpBP,1000,42,-0.3677082869148599,-0.3331785095145209,-0.5808760207487617
GcGiGpBP,1000,42,-0.341150335059645,-0.3402892889464298,-0.6145531143399793
GpCCpGpBP,1000,42,-0.4675640616652413,-0.4258798821214624,0.1079011951969348
GiGr>GpBP,1000,42,-0.604048419866851,-0.5984063766394848,-0.8019362892832911
GcG<rGpBP,1000,42,-0.6339232612944786,-0.6473461372079952,-0.935861963543959
GuAdGpBP,1000,42,-0.7418766876981887,-0.6993960393351109,1.2384143526595717
GdDuGpBP,1000,42,-0.737457479659403,-0.7000087496120544,-0.575460308475782
GbCdGpBP,1000,42,-0.7839921790293224,-0.7886976368154965,-0.4704288088893098
Gr>GcGpBP,1000,42,-0.849111509757584,-0.8525317231134635,-0.7763084352911594
GdDdGpBP,1000,42,-0.8610062527701448,-0.9102843426501508,3.387715862761397
GaDaGpBP,1000,42,-0.9277072808435836,-0.9456069759837016,2.1680277324018986
GdCdGpBP,1000,42,-1.5455614410067953,-1.5948544974903744,0.977744688037218
GuDuGpBP,1000,42,-1.6234977759336962,-1.653270498692371,-0.651312046061496
GdAeGpBP,1000,42,-2.2168762675280513,-2.157555939160403,1.7510500943771927
Gr>G<rGpBP,1000,42,-2.1743891490089036,-2.2189735654830565,-0.381751033733372
GdAdGpBP,1000,42,-2.200049970303985,-2.278934778972244,1.9732683140391276
GdAuGpBP,1000,42,-2.649645735112866,-2.600570876427385,0.9111345306391054
GaDdGpBP,1000,42,-2.6968051219423845,-2.7382782404388326,-0.5098995476100914
GeAdGpBP,1000,42,-2.877366509628001,-2.7945517000868314,2.3012330022125074
GeAeGpBP,1000,42,-3.0484283815967954,-2.98068289300443,1.8189420980362163
GuAeGpBP,1000,42,-3.9136426527260193,-4.035892163278144,1.6917662783461174
GbCuGpBP,1000,42,,,
