metapath,target_position,gene_set,n_genes,strata_mismatches,max_value_rel_diff,z_ref,z_summary,z_shuffled,null_mean_ref,null_mean_summary,null_std_ref,null_std_summary,p_ref,p_summary,merges_equal,z_rel_diff,nan_disagree
GaDuGpBP,43,random_18,18,0,0.0,1.125,,-12.604957971880824,0.13414381769059017,0.13414381769059075,2.4671622769447922e-17,,0.13029451713680887,,True,,True
GaDuGpBP,695,random_18,18,0,0.0,0.0,,-11.036363672142143,0.14477098427888432,0.14477098427888382,2.4671622769447922e-17,,0.5,,True,,True
GaDuGpBP,1396,random_18,18,0,0.0,1.125,,,0.1119783270305709,0.11197832703057102,4.9343245538895844e-17,,0.13029451713680887,,True,,True
GaDuGpBP,2080,random_18,18,0,0.0,0.0,,-0.8860451079317937,0.12962864736406898,0.12962864736406943,2.4671622769447922e-17,,0.5,,True,,True
GaDuGpBP,2083,random_18,18,0,0.0,-1.125,,-5.009913410034865,0.1413257442219355,0.14132574422193522,2.4671622769447922e-17,,0.8697054828631912,,True,,True
GaDuGpBP,4342,random_18,18,0,0.0,1.125,,,0.20702782103963235,0.20702782103963183,2.4671622769447922e-17,,0.13029451713680887,,True,,True
GaDuGpBP,4421,random_18,18,0,0.0,-1.125,,-5.691040260705765,0.15401017438795242,0.15401017438795292,2.4671622769447922e-17,,0.8697054828631912,,True,,True
GaDuGpBP,4747,random_18,18,0,0.0,-1.125,,-7.132307666048549,0.1925574949870252,0.19255749498702499,2.4671622769447922e-17,,0.8697054828631912,,True,,True
GaDuGpBP,6933,random_18,18,0,0.0,-1.125,,-35.95881609224152,0.1977485650676815,0.19774856506768163,2.4671622769447922e-17,,0.8697054828631912,,True,,True
GaDuGpBP,7312,random_18,18,0,0.0,-0.5625,,-9.989299056890086,0.1926236162843085,0.19262361628430916,4.9343245538895844e-17,,0.7131122981836348,,True,,True
GaDuGpBP,7492,random_18,18,0,0.0,0.0,,-2.4396739040845614,0.16774453888116406,0.1677445388811645,2.4671622769447922e-17,,0.5,,True,,True
GaDuGpBP,7822,random_18,18,0,0.0,1.125,,-1.7595178726941796,0.17930311434410723,0.1793031143441073,2.4671622769447922e-17,,0.13029451713680887,,True,,True
GaDuGpBP,8205,random_18,18,0,0.0,1.125,,-0.0736023603663368,0.20976187137096516,0.20976187137096566,4.9343245538895844e-17,,0.13029451713680887,,True,,True
GaDuGpBP,9109,random_18,18,0,0.0,1.125,,-1.6585037699790022,0.12515017569963924,0.12515017569963915,2.4671622769447922e-17,,0.13029451713680887,,True,,True
GaDuGpBP,10198,random_18,18,0,0.0,1.125,,0.5471620515301825,0.12593803039708779,0.12593803039708792,2.4671622769447922e-17,,0.13029451713680887,,True,,True
GdDuGpBP,1816,annotated,15,0,2.4689230562102713e-16,-0.9375,,2.8429087408181184,0.1551696976922311,0.15516969769223157,2.960594732333751e-17,,0.8257492881194576,,True,,True
GdDuGpBP,2620,annotated,6,0,0.0,1.5,,,0.5788458484292771,0.5788458484292771,7.401486830834377e-17,,0.06680720126885809,,True,,True
GdDuGpBP,4815,annotated,10,0,0.0,0.0,,-1.3238550933155362,0.3235590856037802,0.3235590856037793,4.4408920985006264e-17,,0.5,,True,,True
GdDuGpBP,6105,annotated,10,0,0.0,0.8333333333333334,,1.0695310202978745,0.2705154006047011,0.2705154006047015,1.3322676295501878e-16,,0.20232838096364303,,True,,True
GdDuGpBP,10510,annotated,7,0,0.0,-0.875,,-1.2482131419137945,0.4078235561236941,0.40782355612369253,1.2688263138573217e-16,,0.8092130471474894,,True,,True
GuDaGpBP,10181,annotated,11,0,0.0,-0.6875000000000001,,-1.5352085469331205,0.09792734315185987,0.09792734315185972,2.0185873175002844e-17,,0.7541161496197386,,True,,True
GuDdGpBP,826,annotated,8,0,0.0,1.0,,,0.35878404318978707,0.35878404318978646,5.551115123125783e-17,,0.15865525393145707,,True,,True
GuDdGpBP,3537,annotated,5,0,0.0,0.625,,,0.7208894545360441,0.7208894545360426,1.7763568394002506e-16,,0.26598552904870054,,True,,True
